Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	10560	2112	1	0	6500	0	6500
0	1	0	12507	2107	0.997633	0	6500	0	6500
0	2	0	13869	2082	0.985795	0	6500	0	6500
0	3	0	14915	2053	0.972064	0	6500	0	6500
0	4	0	15493	2014	0.953598	0	6500	0	6500
0	5	0	15717	1980	0.9375	0	6500	0	6500
0	6	0	15872	1952	0.924242	0	6500	0	6500
0	7	0	16063	1926	0.911932	0	6500	0	6500
0	8	0	16058	1901	0.900095	0	6500	0	6500
0	9	0	16041	1884	0.892045	0	6500	0	6500
0	10	0	16154	1866	0.883523	0	6500	0	6500
0	11	0	15877	1855	0.878314	0	6500	0	6500
0	12	0	15982	1842	0.872159	0	6500	0	6500
0	13	0	16178	1826	0.864583	0	6500	0	6500
0	14	0	16073	1818	0.860795	0	6500	0	6500
0	15	0	15988	1800	0.852273	0	6500	0	6500
0	16	0	15797	1781	0.843277	0	6500	0	6500
0	17	0	15810	1772	0.839015	0	6500	0	6500
0	18	0	15310	1761	0.833807	0	6500	0	6500
0	19	0	15118	1750	0.828598	0	6500	0	6500
0	20	0	15228	1735	0.821496	0	6500	0	6500
0	21	0	15051	1724	0.816288	0	6500	0	6500
0	22	0	14917	1708	0.808712	0	6500	0	6500
0	23	0	15038	1698	0.803977	0	6500	0	6500
0	24	0	14692	1686	0.798295	0	6500	0	6500
0	25	0	14645	1668	0.789773	0	6500	0	6500
0	26	0	14364	1647	0.77983	0	6500	0	6500
0	27	0	14115	1634	0.773674	0	6500	0	6500
0	28	0	14143	1626	0.769886	0	6500	0	6500
0	29	0	14014	1614	0.764205	0	6500	0	6500
0	30	0	13902	1600	0.757576	0	6500	0	6500
0	31	0	13806	1586	0.750947	0	6500	0	6500
0	32	0	13789	1570	0.743371	0	6500	0	6500
0	33	0	13493	1548	0.732955	0	6500	0	6500
0	34	0	13602	1537	0.727746	0	6500	0	6500
0	35	0	13350	1519	0.719223	0	6500	0	6500
0	36	0	13170	1507	0.713542	0	6500	0	6500
0	37	0	12998	1499	0.709754	0	6500	0	6500
0	38	0	12983	1483	0.702178	0	6500	0	6500
0	39	0	13160	1470	0.696023	0	6500	0	6500
0	40	0	12820	1458	0.690341	0	6500	0	6500
0	41	0	12724	1449	0.68608	0	6500	0	6500
0	42	0	12613	1439	0.681345	0	6500	0	6500
0	43	0	12565	1426	0.675189	0	6500	0	6500
0	44	0	12542	1420	0.672348	0	6500	0	6500
0	45	0	12244	1401	0.663352	0	6500	0	6500
0	46	0	12167	1390	0.658144	0	6500	0	6500
0	47	0	11977	1373	0.650095	0	6500	0	6500
0	48	0	11963	1362	0.644886	0	6500	0	6500
0	49	0	11738	1352	0.640152	0	6500	0	6500
0	50	0	11531	1341	0.634943	0	6500	0	6500
1	0	0	10560	2112	1	0	6500	0	6500
1	1	0	12456	2103	0.995739	0	6500	0	6500
1	2	0	13915	2079	0.984375	0	6500	0	6500
1	3	0	14763	2052	0.971591	0	6500	0	6500
1	4	0	15593	2025	0.958807	0	6500	0	6500
1	5	0	15879	1999	0.946496	0	6500	0	6500
1	6	0	16341	1977	0.93608	0	6500	0	6500
1	7	0	16364	1948	0.922348	0	6500	0	6500
1	8	0	16532	1933	0.915246	0	6500	0	6500
1	9	0	16460	1907	0.902936	0	6500	0	6500
1	10	0	16626	1891	0.89536	0	6500	0	6500
1	11	0	16310	1879	0.889678	0	6500	0	6500
1	12	0	16273	1860	0.880682	0	6500	0	6500
1	13	0	16157	1846	0.874053	0	6500	0	6500
1	14	0	16103	1836	0.869318	0	6500	0	6500
1	15	0	16115	1822	0.862689	0	6500	0	6500
1	16	0	15933	1806	0.855114	0	6500	0	6500
1	17	0	15673	1785	0.84517	0	6500	0	6500
1	18	0	15644	1769	0.837595	0	6500	0	6500
1	19	0	15533	1759	0.83286	0	6500	0	6500
1	20	0	15358	1743	0.825284	0	6500	0	6500
1	21	0	15184	1733	0.820549	0	6500	0	6500
1	22	0	15169	1715	0.812027	0	6500	0	6500
1	23	0	14951	1695	0.802557	0	6500	0	6500
1	24	0	15088	1678	0.794508	0	6500	0	6500
1	25	0	14870	1661	0.786458	0	6500	0	6500
1	26	0	14624	1648	0.780303	0	6500	0	6500
1	27	0	14285	1632	0.772727	0	6500	0	6500
1	28	0	14342	1617	0.765625	0	6500	0	6500
1	29	0	14049	1606	0.760417	0	6500	0	6500
1	30	0	13999	1590	0.752841	0	6500	0	6500
1	31	0	13947	1581	0.74858	0	6500	0	6500
1	32	0	13748	1559	0.738163	0	6500	0	6500
1	33	0	13528	1548	0.732955	0	6500	0	6500
1	34	0	13375	1529	0.723958	0	6500	0	6500
1	35	0	13324	1518	0.71875	0	6500	0	6500
1	36	0	13266	1506	0.713068	0	6500	0	6500
1	37	0	13439	1495	0.70786	0	6500	0	6500
1	38	0	13248	1487	0.704072	0	6500	0	6500
1	39	0	13145	1476	0.698864	0	6500	0	6500
1	40	0	12948	1462	0.692235	0	6500	0	6500
1	41	0	12741	1455	0.68892	0	6500	0	6500
1	42	0	12592	1442	0.682765	0	6500	0	6500
1	43	0	12392	1423	0.673769	0	6500	0	6500
1	44	0	12398	1414	0.669508	0	6500	0	6500
1	45	0	12339	1393	0.659564	0	6500	0	6500
1	46	0	12227	1368	0.647727	0	6500	0	6500
1	47	0	12088	1351	0.639678	0	6500	0	6500
1	48	0	11912	1343	0.63589	0	6500	0	6500
1	49	0	11702	1333	0.631155	0	6500	0	6500
1	50	0	11526	1320	0.625	0	6500	0	6500
