Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	6750	4500	2250	10249	1664	0.250943	0	1290	180	2570
0	1	0	15794	12614	3180	21031	1825	0.275222	0	1290	180	2570
0	2	0	34236	29165	5071	29874	2505	0.377771	0	1290	180	2570
0	3	0	59041	50636	8405	41669	3794	0.572161	0	1290	180	2570
0	4	0	92790	80304	12486	59190	5021	0.757201	0	1290	180	2570
0	5	0	139533	122592	16941	70807	5846	0.881617	0	1290	180	2570
0	6	0	192472	170861	21611	70307	6243	0.941487	0	1290	180	2570
0	7	0	238265	212001	26264	63075	6436	0.970593	0	1290	180	2570
0	8	0	271654	241016	30638	56008	6506	0.981149	0	1290	180	2570
0	9	0	294690	259983	34707	50188	6550	0.987785	0	1290	180	2570
0	10	0	309508	271228	38280	47203	6574	0.991404	0	1290	180	2570
0	11	0	319630	278423	41207	44347	6593	0.994269	0	1290	180	2570
0	12	0	326365	282343	44022	43156	6599	0.995174	0	1290	180	2570
0	13	0	331550	285143	46407	41742	6607	0.996381	0	1290	180	2570
0	14	0	334837	286690	48147	41224	6613	0.997285	0	1290	180	2570
0	15	0	337320	287570	49750	40417	6614	0.997436	0	1290	180	2570
0	16	0	338948	288048	50900	39647	6617	0.997889	0	1290	180	2570
0	17	0	339701	287728	51973	40355	6619	0.99819	0	1290	180	2570
0	18	0	341180	288474	52706	39655	6621	0.998492	0	1290	180	2570
0	19	0	341781	288253	53528	39639	6622	0.998643	0	1290	180	2570
0	20	0	342334	288296	54038	39443	6622	0.998643	0	1290	180	2570
0	21	0	342875	288268	54607	39478	6624	0.998944	0	1290	180	2570
0	22	0	343144	288194	54950	39400	6625	0.999095	0	1290	180	2570
0	23	0	343301	288006	55295	38823	6625	0.999095	0	1290	180	2570
0	24	0	343202	287649	55553	39267	6625	0.999095	0	1290	180	2570
0	25	0	343555	287768	55787	39079	6625	0.999095	0	1290	180	2570
0	26	0	343465	287310	56155	38747	6625	0.999095	0	1290	180	2570
0	27	0	343338	287089	56249	38932	6626	0.999246	0	1290	180	2570
0	28	0	343076	286740	56336	38991	6626	0.999246	0	1290	180	2570
0	29	0	343096	286780	56316	38536	6626	0.999246	0	1290	180	2570
0	30	0	343032	286716	56316	39069	6626	0.999246	0	1290	180	2570
0	31	0	343058	286832	56226	39225	6627	0.999397	0	1290	180	2570
0	32	0	343274	287050	56224	38834	6627	0.999397	0	1290	180	2570
0	33	0	342998	286701	56297	39227	6627	0.999397	0	1290	180	2570
0	34	0	343074	286871	56203	38499	6627	0.999397	0	1290	180	2570
0	35	0	342782	286391	56391	39268	6627	0.999397	0	1290	180	2570
0	36	0	343176	286632	56544	39247	6627	0.999397	0	1290	180	2570
0	37	0	343188	286551	56637	39181	6627	0.999397	0	1290	180	2570
0	38	0	343257	286757	56500	39543	6627	0.999397	0	1290	180	2570
0	39	0	343632	287211	56421	38730	6627	0.999397	0	1290	180	2570
0	40	0	343479	286814	56665	38850	6627	0.999397	0	1290	180	2570
0	41	0	343117	286500	56617	38893	6627	0.999397	0	1290	180	2570
0	42	0	343021	286681	56340	39149	6627	0.999397	0	1290	180	2570
0	43	0	343269	286877	56392	39415	6627	0.999397	0	1290	180	2570
0	44	0	343350	286948	56402	38577	6628	0.999548	0	1290	180	2570
0	45	0	342983	286453	56530	39040	6628	0.999548	0	1290	180	2570
0	46	0	343268	286435	56833	39056	6628	0.999548	0	1290	180	2570
0	47	0	343675	286709	56966	39035	6628	0.999548	0	1290	180	2570
0	48	0	343782	286695	57087	39204	6628	0.999548	0	1290	180	2570
0	49	0	343996	286859	57137	39218	6628	0.999548	0	1290	180	2570
0	50	0	344157	287047	57110	0	6628	0.999548	0	1290	180	2570
1	0	0	6750	4500	2250	10487	1691	0.255014	0	1290	0	2570
1	1	0	15992	12807	3185	21452	1815	0.273714	0	1290	0	2570
1	2	0	34666	29662	5004	30276	2496	0.376414	0	1290	0	2570
1	3	0	59475	51260	8215	40558	3581	0.540039	0	1290	0	2570
1	4	0	91571	79144	12427	55606	4751	0.716483	0	1290	0	2570
1	5	0	134263	117200	17063	66587	5580	0.841502	0	1290	0	2570
1	6	0	182636	160640	21996	67987	6016	0.907254	0	1290	0	2570
1	7	0	226538	199642	26896	62692	6261	0.944201	0	1290	0	2570
1	8	0	260073	228325	31748	57011	6379	0.961997	0	1290	0	2570
1	9	0	284173	247778	36395	52740	6460	0.974212	0	1290	0	2570
1	10	0	301471	261123	40348	49298	6505	0.980998	0	1290	0	2570
1	11	0	313664	269645	44019	46325	6532	0.98507	0	1290	0	2570
1	12	0	321523	274344	47179	44879	6558	0.988991	0	1290	0	2570
1	13	0	327495	277688	49807	43645	6574	0.991404	0	1290	0	2570
1	14	0	332014	279848	52166	42685	6583	0.992761	0	1290	0	2570
1	15	0	335114	280824	54290	42083	6592	0.994119	0	1290	0	2570
1	16	0	337353	281376	55977	41801	6596	0.994722	0	1290	0	2570
1	17	0	339391	282094	57297	41141	6599	0.995174	0	1290	0	2570
1	18	0	340396	282017	58379	40696	6603	0.995777	0	1290	0	2570
1	19	0	341316	281852	59464	41250	6604	0.995928	0	1290	0	2570
1	20	0	342473	282330	60143	40489	6606	0.99623	0	1290	0	2570
1	21	0	343144	282277	60867	40505	6608	0.996531	0	1290	0	2570
1	22	0	343284	281953	61331	40158	6609	0.996682	0	1290	0	2570
1	23	0	343229	281294	61935	40656	6610	0.996833	0	1290	0	2570
1	24	0	343497	281501	61996	40144	6612	0.997135	0	1290	0	2570
1	25	0	343921	281492	62429	40205	6612	0.997135	0	1290	0	2570
1	26	0	343616	281144	62472	39980	6613	0.997285	0	1290	0	2570
1	27	0	343717	280842	62875	39688	6614	0.997436	0	1290	0	2570
1	28	0	343613	280270	63343	40139	6614	0.997436	0	1290	0	2570
1	29	0	343637	280468	63169	40013	6614	0.997436	0	1290	0	2570
1	30	0	343651	280186	63465	40118	6615	0.997587	0	1290	0	2570
1	31	0	343615	279986	63629	40225	6615	0.997587	0	1290	0	2570
1	32	0	343955	280410	63545	40270	6616	0.997738	0	1290	0	2570
1	33	0	344305	280695	63610	40035	6618	0.998039	0	1290	0	2570
1	34	0	343981	280379	63602	40378	6618	0.998039	0	1290	0	2570
1	35	0	344639	280915	63724	40120	6619	0.99819	0	1290	0	2570
1	36	0	344357	280649	63708	40292	6620	0.998341	0	1290	0	2570
1	37	0	344308	280252	64056	40290	6621	0.998492	0	1290	0	2570
1	38	0	344334	280284	64050	39864	6621	0.998492	0	1290	0	2570
1	39	0	344051	279922	64129	40353	6623	0.998794	0	1290	0	2570
1	40	0	344378	280267	64111	39946	6623	0.998794	0	1290	0	2570
1	41	0	344315	280089	64226	40048	6624	0.998944	0	1290	0	2570
1	42	0	344569	280455	64114	40085	6625	0.999095	0	1290	0	2570
1	43	0	344956	280544	64412	40506	6625	0.999095	0	1290	0	2570
1	44	0	345652	281068	64584	39905	6625	0.999095	0	1290	0	2570
1	45	0	345154	280549	64605	40117	6625	0.999095	0	1290	0	2570
1	46	0	344739	280160	64579	40541	6627	0.999397	0	1290	0	2570
1	47	0	345263	280618	64645	39727	6628	0.999548	0	1290	0	2570
1	48	0	344866	280185	64681	40436	6629	0.999698	0	1290	0	2570
1	49	0	345332	280552	64780	40090	6629	0.999698	0	1290	0	2570
1	50	0	345267	280404	64863	0	6629	0.999698	0	1290	0	2570
